Date,AMT,ARE,AVB,BXP,CBRE,CCI,CPT,DLR,EQIX,EQR,ESS,EXR,FRT,HST,IRM,KIM,MAA,O,PEAK,PLD,PSA,REG,SBAC,SPG,UDR,VTR,WELL,WY
2016-07-12 00:00:00-04:00,116.0999985,103.0899963,185.6699982,135.9700012,27.53000069,100.1500015,89.91000366,109.6299973,387.2000122,71.01999664,232.0700073,93.48999786,166.75,17.15999985,40.95999908,31.39999962,108.5299988,67.89728546,33.7249527,50.09000015,255.8000031,81.68000031,112.7799988,221.4600067,37.40999985,71.86000061,76.01999664,31.85000038
2016-07-13 00:00:00-04:00,116.0100021,104.4199982,187.4299927,136.6100006,27.5,99.80000305,90.13999939,109.8199997,386.7099915,70.91000366,234.2599945,94.37999725,167.6100006,16.47999954,40.52000046,31.56999969,108.0199966,68.6046524,34.08925247,50.65000153,256.4500122,82.5,112.0899963,224.2400055,37.54999924,72.16999817,76.94999695,31.96999931
2016-07-14 00:00:00-04:00,117,103.7600021,185.4499969,135.8600006,27.54999924,99.47000122,88.37999725,107.0400009,383.8099976,70.44999695,229.5399933,94.11000061,165.2700043,16.70999908,40.25999832,31.30999947,106.0699997,68.15891266,33.65209579,50.95999908,254.0700073,81.76000214,113.4700012,222.1699982,36.97000122,70.91999817,76.16999817,32.04000092
2016-07-15 00:00:00-04:00,116.8199997,103.6699982,183.2599945,136.0500031,27.5,100.1100006,87.66999817,106.5599976,379.9700012,69.56999969,226.6000061,92.70999908,166.0500031,16.97999954,39.84000015,31.29000092,105.3600006,67.67441559,34.08925247,51.33000183,251.6199951,81.48000336,114.0299988,222.9400024,36.45000076,72,76.5,32.02999878
2016-07-18 00:00:00-04:00,116.3000031,104.5299988,183.1600037,136.5299988,28.11000061,99.38999939,87.91999817,105.9100037,380.3999939,69.81999969,225.6300049,92.37000275,165.9499969,17.09000015,39.70999908,31.22999954,105.1399994,67.81008148,34.03460693,51.61999893,251.25,81.47000122,113.7600021,222.2799988,36.47000122,72.58999634,77.19000244,32.24000168
2016-07-19 00:00:00-04:00,117.3700027,104.9199982,184.2400055,137.4499969,27.68000031,99.66000366,88.68000031,106,380.0100098,70.70999908,226.5899963,92.23999786,166.8300018,17.25,39.99000168,31.39999962,106.0999985,68.110466,34.72677612,51.70999908,252.1399994,81.95999908,112.8499985,223.0299988,36.79999924,73.05000305,77.55999756,31.97999954
2016-07-20 00:00:00-04:00,117.7300034,106.3099976,183.7700043,137.1499939,28.10000038,98.48999786,88.88999939,104.8799973,379.4500122,70.08999634,226.3500061,92.83999634,166.1600037,17.12000084,40.18999863,31.37000084,106.0100021,67.63565826,34.9180336,51.59999847,251.9199982,81.90000153,112.6200027,223.2400055,36.84000015,73.08000183,77.61000061,32.29999924
2016-07-21 00:00:00-04:00,117.5500031,107.1900024,184,137.5599976,28.54999924,98.26999664,89.55000305,102.0599976,372.5599976,69.94999695,226.4400024,92.88999939,166.4700012,17.51000023,40.27000046,31.44000053,105.7099991,67.90697479,35.10929108,51.77999878,251.6499939,82.09999847,111.9599991,224.1999969,36.90000153,73.30999756,78.05999756,32.29000092
2016-07-22 00:00:00-04:00,117.8399963,108.8099976,185.3200073,138.9199982,28.98999977,98.87000275,89.58000183,105.6500015,376.8599854,70.31999969,226.9900055,93.62000275,167.1199951,17.90999985,41.06000137,31.46999931,106.75,68.22674561,35.42805099,52.56999969,253.7400055,82.56999969,113.1699982,225.3000031,37.15999985,73.87999725,78.75,32.43000031
2016-07-25 00:00:00-04:00,116.8700027,109.2900009,185.1699982,139.0700073,29.02000046,97.31999969,89.19000244,104.9599991,376.3299866,70.16000366,226.3999939,91.86000061,167.3500061,17.95999908,41.11000061,31.34000015,106.4499969,68.139534,35.5919838,52.99000168,251.9600067,82.48000336,112.8499985,224.4799957,37.09000015,73.98000336,78.75,32.49000168
2016-07-26 00:00:00-04:00,116.9700012,109.2600021,182.4199982,138.8500061,29.07999992,96.73999786,87.98000336,105.1600037,377.4400024,69.81999969,222.7299957,90.40000153,166.6499939,17.60000038,41.25,31.25,105.7699966,67.93605042,35.35519028,53.20000076,250.4299927,81.88999939,112.3799973,224.5,36.61999893,73.70999908,77.76999664,32.90999985
2016-07-27 00:00:00-04:00,117.6100006,108.8000031,179.7599945,138.6499939,28.86000061,96.06999969,86.36000061,105.3899994,373.7399902,65.95999908,218.8099976,89.90000153,165.8099976,17.13999939,41,31.12000084,103.7699966,67.43217468,35.21857834,52.52000046,248.1799927,81.81999969,112.75,221.6999969,36.04999924,73.54000092,77.36000061,32.58000183
2016-07-28 00:00:00-04:00,116.6500015,111.0299988,182.2799988,139.4400024,28.79999924,96.56999969,86.80999756,107.6900024,380.1700134,66.84999847,220.5899963,85.98000336,168.7100067,17.28000069,41.24000168,31.82999992,103.8000031,68.4883728,35.53734207,53.63000107,238.6199951,83.37999725,112.4800034,224.0700073,36.56000137,74.51999664,78.37000275,32.36999893
2016-07-29 00:00:00-04:00,115.7699966,112.3000031,185.6499939,142.1300049,28.45000076,97.02999878,89.58999634,104.4599991,372.8699951,67.98999786,233.8800049,86.01999664,169.6999969,17.73999977,41.20999908,32.09999847,106.0199966,69.25387573,35.72859573,54.49000168,238.9199982,84.93000031,115,227.0399933,37.22999954,76.16000366,79.33000183,32.72000122
2016-08-01 00:00:00-04:00,117.0400009,112.5500031,186.7299957,142.4700012,28.56999969,97.73999786,89.56999969,106.6800003,378.9700012,68.36000061,234.6199951,86.56999969,170.3500061,17.88999939,41.02000046,32.16999817,105.7200012,69.90309906,35.92896271,54.61000061,238.9700012,85.30000305,116.0100021,227.6000061,37.63000107,76.55999756,79.61000061,32.75
2016-08-02 00:00:00-04:00,116.7399979,109.4800034,184.7899933,140.6399994,28.31999969,96.86000061,87.83999634,104.6200027,373.4599915,67.26999664,231.5099945,85.16999817,167.4700012,17.44000053,40.47999954,31.64999962,104.2399979,67.83914948,35.48269653,54.20000076,234.3500061,84.08999634,113.2799988,223.6100006,37.11999893,74.44999695,77.80000305,32.43999863
2016-08-03 00:00:00-04:00,115.7300034,110.7699966,182.8300018,140.4100037,28.77000046,96.11000061,86.98999786,102.0699997,370.3399963,66.01000214,230.4299927,83.05000305,166.5700073,17.54999924,40.24000168,31.45000076,103.0299988,67.03488159,35.60109329,54.06000137,233.4499969,83.19000244,113.2099991,222.3099976,36.99000168,73.70999908,77.45999908,32.36999893
2016-08-04 00:00:00-04:00,116.4199982,112.3799973,181.4799957,140.8699951,28.70000076,96.87000275,86.11000061,103.0699997,371.3999939,66.36000061,229.5099945,81.98999786,165.4799957,17.37999916,37.95000076,31.21999931,102.7600021,67.3837204,35.06375122,54,230.5500031,83.02999878,113.5899963,219.6199951,36.86999893,73.77999878,77.70999908,32.65000153
